patronID,orderID,arrivalTime,burstTime,priority,serviceStartTime,completionTime,responseTime,waitingTime,turnaroundTime,queueLevel
0,0,369,25,1,374,404,5,5,35,-2
0,1,569,25,1,571,597,2,2,28,-2
1,2,578,25,2,597,623,19,19,45,-2
0,3,697,200,1,699,899,2,2,202,-2
1,4,724,20,2,900,922,176,176,198,-2
2,5,777,70,3,922,993,145,145,216,-2
0,6,911,25,1,993,1019,82,82,108,-2
1,7,926,60,2,1019,1080,93,93,154,-2
2,8,1143,25,3,1144,1170,1,1,27,-2
0,9,1171,60,1,1171,1232,0,0,61,-2
1,10,1191,25,2,1232,1258,41,41,67,-2
2,11,1322,25,3,1325,1352,3,3,30,-2
0,12,1342,40,1,1353,1394,11,11,52,-2
1,13,1359,75,2,1394,1471,35,35,112,-2
2,14,1455,75,3,1472,1549,17,17,94,-2
1,15,1583,25,2,1584,1610,1,1,27,-2
1,16,1711,40,2,1712,1753,1,1,42,-2
3,17,1717,20,4,1754,1775,37,37,58,-2
3,18,1779,100,4,1780,1881,1,1,102,-2
1,19,1865,200,2,1881,2082,16,16,217,-2
3,20,2002,25,4,2082,2108,80,80,106,-2
3,21,2259,100,4,2261,2363,2,2,104,-2
4,22,2424,75,5,2425,2500,1,1,76,-2
3,23,2484,25,4,2500,2528,16,16,44,-2
4,24,2581,60,5,2582,2644,1,1,63,-2
3,25,2630,40,4,2644,2685,14,14,55,-2
3,26,2797,70,4,2798,2869,1,1,72,-2
5,27,3029,100,6,3031,3131,2,2,102,-2
6,28,3206,50,7,3207,3258,1,1,52,-2
5,29,3253,40,6,3259,3300,6,6,47,-2
6,30,3359,70,7,3361,3432,2,2,73,-2
7,31,3382,40,8,3433,3474,51,51,92,-2
6,32,3583,25,7,3584,3609,1,1,26,-2
7,33,3585,25,8,3609,3636,24,24,51,-2
8,34,3716,25,9,3719,3745,3,3,29,-2
6,35,3760,25,7,3762,3788,2,2,28,-2
7,36,3787,75,8,3789,3865,2,2,78,-2
8,37,3846,100,9,3865,3967,19,19,121,-2
6,38,3889,100,7,3967,4069,78,78,180,-2
9,39,4232,65,10,4233,4299,1,1,67,-2
9,40,4350,200,10,4351,4553,1,1,203,-2
9,41,4568,70,10,4569,4644,1,1,76,-2
