patronID,orderID,arrivalTime,burstTime,priority,serviceStartTime,completionTime,responseTime,waitingTime,turnaroundTime,queueLevel
0,0,240,25,1,243,270,3,3,30,-1
1,1,240,25,2,311,338,71,71,98,-1
2,2,344,25,3,344,371,0,0,27,-1
0,3,421,200,1,421,623,0,0,202,-1
2,4,472,20,3,624,645,152,152,173,-1
3,5,579,70,4,645,716,66,66,137,-1
0,6,635,25,1,717,743,82,82,108,-1
2,7,648,60,3,744,806,96,96,158,-1
4,8,778,25,5,807,833,29,29,55,-1
3,9,867,60,4,867,929,0,0,62,-1
0,10,894,25,1,929,955,35,35,61,-1
2,11,917,25,3,957,983,40,40,66,-1
3,12,1040,40,4,1040,1081,0,0,41,-1
5,13,1043,75,6,1082,1158,39,39,115,-1
0,14,1057,75,1,1168,1244,111,111,187,-1
2,15,1084,25,3,1244,1271,160,160,187,-1
3,16,1192,40,4,1273,1313,81,81,121,-1
6,17,1267,20,7,1313,1336,46,46,69,-1
5,18,1269,100,6,1336,1438,67,67,169,-1
6,19,1339,200,7,1439,1641,100,100,302,-1
2,20,1373,25,3,1641,1668,268,268,295,-1
3,21,1426,100,4,1668,1770,242,242,344,-1
5,22,1561,75,6,1773,1849,212,212,288,-1
6,23,1651,25,7,1849,1875,198,198,224,-1
7,24,1717,60,8,1875,1937,158,158,220,-1
2,25,1819,40,3,1937,1979,118,118,160,-1
8,26,1822,70,9,1980,2051,158,158,229,-1
3,27,1892,100,4,2051,2153,159,159,261,-1
7,28,2049,50,8,2153,2204,104,104,155,-1
8,29,2202,40,9,2205,2247,3,3,45,-1
3,30,2274,70,4,2274,2345,0,0,71,-1
8,31,2357,40,9,2357,2399,0,0,42,-1
9,32,2424,25,10,2425,2450,1,1,26,-1
10,33,2485,25,11,2485,2512,0,0,27,-1
8,34,2510,25,9,2512,2539,2,2,29,-1
11,35,2534,25,12,2539,2566,5,5,32,-1
8,36,2640,75,9,2640,2716,0,0,76,-1
10,37,2663,100,11,2716,2818,53,53,155,-1
11,38,2666,100,12,2818,2921,152,152,255,-1
8,39,2827,65,9,2922,2988,95,95,161,-1
12,40,2829,200,13,2988,3190,159,159,361,-1
10,41,2939,70,11,3191,3262,252,252,323,-1
13,42,3030,60,14,3263,3324,233,233,294,-1
8,43,3039,50,9,3324,3376,285,285,337,-1
11,44,3042,25,12,3376,3402,334,334,360,-1
12,45,3202,65,13,3402,3468,200,200,266,-1
14,46,3206,50,15,3468,3520,262,262,314,-1
15,47,3382,25,16,3521,3547,139,139,165,-1
10,48,3414,50,11,3547,3598,133,133,184,-1
12,49,3520,100,13,3598,3700,78,78,180,-1
11,50,3553,100,12,3700,3801,147,147,248,-1
14,51,3622,25,15,3801,3828,179,179,206,-1
15,52,3697,60,16,3829,3889,132,132,192,-1
16,53,3716,20,17,3889,3911,173,173,195,-1
12,54,3822,25,13,3911,3936,89,89,114,-1
16,55,3914,70,17,3937,4008,23,23,94,-1
11,56,3922,100,12,4008,4109,86,86,187,-1
14,57,3979,25,15,4109,4135,130,130,156,-1
15,58,4000,40,16,4135,4176,135,135,176,-1
12,59,4087,25,13,4177,4202,90,90,115,-1
17,60,4120,50,18,4203,4254,83,83,134,-1
16,61,4158,200,17,4255,4463,97,97,305,-1
11,62,4230,25,12,4463,4489,233,233,259,-1
18,63,4233,20,19,4489,4514,256,256,281,-1
14,64,4287,200,15,4515,4717,228,228,430,-1
15,65,4288,200,16,4717,4924,429,429,636,-1
12,66,4303,60,13,4924,4993,621,621,690,-1
19,67,4330,25,20,4993,5019,663,663,689,-1
17,68,4355,20,18,5019,5052,664,664,697,-1
16,69,4479,65,17,5054,5120,575,575,641,-1
18,70,4518,70,19,5120,5204,602,602,686,-1
11,71,4600,75,12,5205,5280,605,605,680,-1
14,72,4733,100,15,5280,5395,547,547,662,-1
15,73,4941,25,16,5395,5421,454,454,480,-1
17,74,5058,100,18,5421,5536,363,363,478,-1
12,75,5114,60,13,5536,5612,422,422,498,-1
19,76,5170,75,20,5612,5688,442,442,518,-1
18,77,5362,70,19,5688,5763,326,326,401,-1
14,78,5520,25,15,5763,5790,243,243,270,-1
17,79,5660,25,18,5790,5816,130,130,156,-1
12,80,5730,20,13,5816,5841,86,86,111,-1
17,81,5922,25,18,5922,5949,0,0,27,-1
17,82,6101,60,18,6101,6169,0,0,68,-1
17,83,6287,25,18,6287,6313,0,0,26,-1
