patronID,drinkName,executionTime,arrivalTime,serviceStartTime,completionTime,waitingTime,responseTime,turnaroundTime,queueLevel
0,White Wine,25,1778070001804,1778070001806,1778070001832,2,2,28,-1
1,Cider,25,1778070001804,1778070001860,1778070001887,56,56,83,-1
2,Cider,25,1778070001936,1778070001936,1778070001962,0,0,26,-1
0,B52,200,1778070001984,1778070001984,1778070002185,0,0,201,-1
2,Tequila shot,20,1778070002063,1778070002185,1778070002206,122,122,143,-1
3,Bloody Mary,70,1778070002173,1778070002206,1778070002277,33,33,104,-1
0,White Wine,25,1778070002196,1778070002277,1778070002305,81,81,109,-1
2,Martini,60,1778070002211,1778070002305,1778070002367,94,94,156,-1
4,Red Wine,25,1778070002372,1778070002373,1778070002399,1,1,27,-1
3,Martini,60,1778070002429,1778070002429,1778070002490,0,0,61,-1
0,Beer,25,1778070002457,1778070002490,1778070002516,33,33,59,-1
2,Beer,25,1778070002478,1778070002516,1778070002542,38,38,64,-1
3,Gin and Tonic,40,1778070002601,1778070002601,1778070002642,0,0,41,-1
0,Mojito,75,1778070002617,1778070002642,1778070002719,25,25,102,-1
5,Margarita,75,1778070002635,1778070002719,1778070002796,84,84,161,-1
2,Beer,25,1778070002643,1778070002796,1778070002824,153,153,181,-1
3,Gin and Tonic,40,1778070002755,1778070002824,1778070002865,69,69,110,-1
6,Tequila shot,20,1778070002861,1778070002865,1778070002886,4,4,25,-1
5,Pina Colada,100,1778070002877,1778070002886,1778070002988,9,9,111,-1
6,B52,200,1778070002890,1778070002988,1778070003190,98,98,300,-1
2,White Wine,25,1778070002925,1778070003190,1778070003216,265,265,291,-1
3,Pina Colada,100,1778070002976,1778070003216,1778070003318,240,240,342,-1
5,Margarita,75,1778070003111,1778070003318,1778070003396,207,207,285,-1
6,Cider,25,1778070003201,1778070003396,1778070003423,195,195,222,-1
7,Martini,60,1778070003313,1778070003423,1778070003485,110,110,172,-1
2,Gin and Tonic,40,1778070003367,1778070003485,1778070003527,118,118,160,-1
8,Bloody Mary,70,1778070003416,1778070003527,1778070003600,111,111,184,-1
3,Pina Colada,100,1778070003439,1778070003600,1778070003702,161,161,263,-1
7,Draft Beer,50,1778070003596,1778070003702,1778070003753,106,106,157,-1
8,Gin and Tonic,40,1778070003751,1778070003753,1778070003795,2,2,44,-1
3,Bloody Mary,70,1778070003822,1778070003822,1778070003893,0,0,71,-1
8,Gin and Tonic,40,1778070003906,1778070003906,1778070003947,0,0,41,-1
9,White Wine,25,1778070004019,1778070004019,1778070004045,0,0,26,-1
8,White Wine,25,1778070004058,1778070004058,1778070004084,0,0,26,-1
10,Beer,25,1778070004081,1778070004084,1778070004112,3,3,31,-1
