patronID,orderID,arrivalTime,burstTime,priority,serviceStartTime,completionTime,responseTime,waitingTime,turnaroundTime,queueLevel
0,0,311,25,1,314,341,3,3,30,-2
1,1,405,20,2,406,428,1,1,23,-2
2,2,424,75,3,429,506,5,5,82,-2
0,3,493,50,1,506,558,13,13,65,-2
3,4,536,25,4,559,585,23,23,49,-2
4,5,657,70,5,658,729,1,1,72,-2
0,6,660,60,1,730,790,70,70,130,-2
3,7,686,20,4,791,813,105,105,127,-2
5,8,871,40,6,872,912,1,1,41,-2
0,10,902,20,1,912,934,10,10,32,-2
4,9,880,65,5,935,1002,55,55,122,-2
7,13,982,20,8,1002,1023,20,20,41,-2
0,12,938,50,1,1023,1075,85,85,137,-2
7,15,1027,25,8,1076,1104,49,49,77,-2
8,16,1050,25,9,1115,1142,65,65,92,-2
5,14,1024,25,6,1142,1169,118,118,145,-2
6,11,936,75,7,1169,1246,233,233,310,-2
11,21,1210,65,12,1246,1313,36,36,103,-2
0,20,1177,60,1,1313,1375,136,136,198,-2
10,19,1153,25,11,1375,1402,222,222,249,-2
4,17,1052,25,5,1402,1429,350,350,377,-2
9,18,1133,50,10,1429,1480,296,296,347,-2
12,26,1348,70,13,1481,1551,133,133,203,-2
5,23,1270,25,6,1552,1578,282,282,308,-2
6,25,1328,75,7,1578,1654,250,250,326,-2
13,28,1437,75,14,1654,1732,217,217,295,-2
7,22,1255,70,8,1733,1804,478,478,549,-2
8,24,1293,25,9,1806,1833,513,513,540,-2
15,33,1672,25,16,1834,1861,162,162,189,-2
11,27,1364,25,12,1861,1888,497,497,524,-2
16,35,1708,50,17,1889,1940,181,181,232,-2
4,30,1580,200,5,1941,2142,361,361,562,-2
15,43,1962,25,16,2143,2168,181,181,206,-2
18,42,1956,25,19,2168,2195,212,212,239,-2
13,38,1843,60,14,2195,2256,352,352,413,-2
5,36,1728,75,6,2256,2333,528,528,605,-2
11,45,2041,200,12,2333,2534,292,292,493,-2
10,29,1503,20,11,2535,2557,1032,1032,1054,-2
6,37,1737,25,7,2557,2583,820,820,846,-2
4,46,2152,25,5,2583,2609,431,431,457,-2
9,31,1582,50,10,2609,2660,1027,1027,1078,-2
17,39,1911,200,18,2660,2866,749,749,955,-2
15,47,2270,40,16,2868,2916,598,598,646,-2
7,41,1955,200,8,2916,3116,961,961,1161,-2
28,62,2701,25,29,3118,3150,417,417,449,-2
29,63,2730,25,30,3150,3183,420,420,453,-2
8,40,1934,25,9,3183,3225,1249,1249,1291,-2
14,32,1664,50,15,3225,3292,1561,1561,1628,-2
21,49,2332,25,22,3292,3326,960,960,994,-2
11,55,2545,25,12,3326,3359,781,781,814,-2
31,68,2943,75,32,3359,3451,416,416,508,-2
24,57,2562,25,25,3452,3484,890,890,922,-2
33,71,3108,60,34,3485,3553,377,377,445,-2
20,48,2322,65,21,3553,3635,1231,1231,1313,-2
43,86,3460,75,44,3636,3719,176,176,259,-2
30,67,2925,200,31,3719,3925,794,794,1000,-2
4,64,2760,75,5,3925,4007,1165,1165,1247,-2
17,66,2882,25,18,4009,4049,1127,1127,1167,-2
36,75,3191,40,37,4049,4098,858,858,907,-2
9,65,2761,20,10,4100,4130,1339,1339,1369,-2
5,52,2413,50,6,4130,4188,1717,1717,1775,-2
27,61,2692,60,28,4189,4257,1497,1497,1565,-2
19,44,1977,70,20,4257,4332,2280,2280,2355,-2
14,84,3409,25,15,4333,4366,924,924,957,-2
40,82,3351,70,41,4366,4441,1015,1015,1090,-2
18,50,2345,75,19,4441,4524,2096,2096,2179,-2
12,34,1703,65,13,4525,4599,2822,2822,2896,-2
10,56,2561,20,11,4599,4623,2038,2038,2062,-2
24,90,3594,200,25,4623,4829,1029,1029,1235,-2
42,85,3418,75,43,4829,4906,1411,1411,1488,-2
33,92,3676,100,34,4906,5014,1230,1230,1338,-2
4,99,4098,50,5,5015,5071,917,917,973,-2
48,98,3974,25,49,5072,5105,1098,1098,1131,-2
7,73,3133,65,8,5105,5172,1972,1972,2039,-2
12,111,4656,20,13,5172,5198,516,516,542,-2
47,95,3736,25,48,5198,5231,1462,1462,1495,-2
17,102,4212,60,18,5231,5306,1019,1019,1094,-2
36,103,4212,70,37,5308,5388,1096,1096,1176,-2
22,53,2509,25,23,5389,5423,2880,2880,2914,-2
14,106,4474,25,15,5423,5457,949,949,983,-2
31,89,3536,200,32,5457,5665,1921,1921,2129,-2
32,69,2990,25,33,5665,5699,2675,2675,2709,-2
11,87,3468,25,12,5699,5732,2231,2231,2264,-2
23,54,2529,65,24,5732,5806,3203,3203,3277,-2
43,96,3810,100,44,5806,5915,1996,1996,2105,-2
44,88,3528,100,45,5915,6023,2387,2387,2495,-2
49,101,4205,25,50,6023,6056,1818,1818,1851,-2
19,107,4491,100,20,6056,6165,1565,1565,1674,-2
8,81,3326,60,9,6165,6234,2839,2839,2908,-2
42,113,4996,100,43,6234,6342,1238,1238,1346,-2
27,105,4382,25,28,6342,6375,1960,1960,1993,-2
7,115,5231,75,8,6375,6458,1144,1144,1227,-2
34,72,3116,200,35,6458,6665,3342,3342,3549,-2
46,94,3710,70,47,6666,6740,2956,2956,3030,-2
11,124,5890,75,12,6740,6817,850,850,927,-2
5,104,4290,25,6,6818,6851,2528,2528,2561,-2
9,100,4146,20,10,6851,6876,2705,2705,2730,-2
45,91,3643,65,46,6876,6942,3233,3233,3299,-2
13,51,2368,25,14,6942,6976,4574,4574,4608,-2
