patronID,orderID,arrivalTime,burstTime,priority,serviceStartTime,completionTime,responseTime,waitingTime,turnaroundTime,queueLevel
0,0,679,25,1,682,713,3,3,34,0
1,1,997,20,2,998,1019,1,1,22,0
1,2,1023,75,2,1024,1101,1,1,78,1
1,4,1183,25,2,1199,1226,16,16,43,0
2,3,1157,50,3,1158,1239,1,28,82,1
2,5,1340,70,3,1343,1415,3,3,75,1
2,6,1566,60,3,1567,1629,1,1,63,1
3,7,2334,20,4,2335,2356,1,1,22,0
3,8,2360,40,4,2361,2402,1,1,42,0
3,9,2513,65,4,2515,2582,2,2,69,1
3,10,2632,20,4,2633,2654,1,1,22,0
3,11,2659,75,4,2661,2738,2,2,79,1
3,12,2820,50,4,2822,2873,2,2,53,1
3,13,2974,20,4,2975,2997,1,1,23,0
4,14,3106,25,5,3107,3133,1,1,27,0
5,15,3192,25,6,3194,3219,2,2,27,0
4,16,3234,25,5,3236,3261,2,2,27,0
5,17,3370,25,6,3371,3398,1,1,28,0
6,19,3416,25,7,3454,3481,38,38,65,0
4,18,3412,50,5,3414,3533,2,70,121,1
6,23,3583,25,7,3615,3642,32,32,59,0
4,24,3634,25,5,3642,3668,8,8,34,0
7,20,3461,60,8,3481,3690,20,166,229,1
8,21,3526,65,9,3533,3717,7,122,191,1
5,22,3549,70,6,3575,3749,26,128,200,1
6,27,3793,25,7,3851,3877,58,58,84,0
8,25,3768,75,9,3769,3914,1,67,146,1
4,26,3769,70,5,3811,3987,42,146,218,1
5,28,3900,75,6,3914,4024,14,46,124,1
8,29,3995,20,9,4024,4044,29,29,49,0
4,33,4138,25,5,4249,4276,111,111,138,0
8,31,4048,50,9,4085,4342,37,237,294,1
5,32,4134,50,6,4208,4359,74,167,225,1
9,34,4200,65,10,4276,4387,76,109,187,1
6,30,4028,200,7,4044,4477,16,236,449,2
5,37,4461,25,6,4560,4587,99,99,126,0
4,35,4396,50,5,4477,4645,81,190,249,1
9,36,4445,75,10,4519,4682,74,159,237,1
6,38,4502,60,7,4587,4707,85,139,205,1
6,40,4820,25,7,4820,4847,0,0,27,0
9,39,4770,200,10,4770,5013,0,27,243,2
9,41,5030,200,10,5031,5247,1,1,217,2
9,42,5261,25,10,5263,5289,2,2,28,0
9,43,5443,25,10,5444,5474,1,1,31,0
9,44,5582,70,10,5583,5661,1,1,79,1
