patronID,drinkName,executionTime,arrivalTime,serviceStartTime,completionTime,waitingTime,responseTime,turnaroundTime,queueLevel
0,White Wine,25,1778858397224,1778858397230,1778858397257,6,6,33,0
0,Cider,25,1778858397411,1778858397412,1778858397438,1,1,27,1
1,Cider,25,1778858397535,1778858397535,1778858397561,0,0,26,0
0,B52,200,1778858397542,1778858397561,1778858397769,19,19,227,2
1,Tequila shot,20,1778858397665,1778858397771,1778858397794,106,106,129,1
1,Bloody Mary,70,1778858397799,1778858397800,1778858397873,1,1,74,2
1,White Wine,25,1778858398028,1778858398030,1778858398108,2,2,80,2
1,Martini,60,1778858398268,1778858398269,1778858398333,1,1,65,2
1,Red Wine,25,1778858398458,1778858398459,1778858398485,1,1,27,2
1,Martini,60,1778858398647,1778858398649,1778858398721,2,2,74,2
1,Beer,25,1778858398846,1778858398847,1778858398874,1,1,28,2
