patronID,orderID,arrivalTime,burstTime,priority,serviceStartTime,completionTime,responseTime,waitingTime,turnaroundTime,queueLevel
0,1,222,25,1,227,256,5,5,34,-1
1,0,220,25,2,317,343,97,97,123,-1
2,2,342,25,3,343,370,1,1,28,-1
0,3,358,200,1,371,574,13,13,216,-1
2,4,471,20,3,574,595,103,103,124,-1
0,6,584,25,1,595,622,11,11,38,-1
2,7,599,60,3,623,684,24,24,85,-1
3,5,578,70,4,684,756,106,106,178,-1
0,8,775,25,1,775,800,0,0,25,-1
2,10,795,25,3,800,828,5,5,33,-1
4,9,777,60,5,828,889,51,51,112,-1
3,11,908,25,4,908,935,0,0,27,-1
2,12,930,40,3,935,976,5,5,46,-1
0,13,951,75,1,976,1052,25,25,101,-1
3,14,1036,75,4,1053,1129,17,17,93,-1
2,16,1088,40,3,1129,1171,41,41,83,-1
5,15,1044,25,6,1172,1198,128,128,154,-1
3,17,1211,20,4,1211,1232,0,0,21,-1
3,18,1237,100,4,1237,1339,0,0,102,-1
2,20,1283,25,3,1341,1367,58,58,84,-1
5,21,1300,100,6,1368,1469,68,68,169,-1
3,22,1460,75,4,1470,1546,10,10,86,-1
6,19,1267,200,7,1547,1748,280,280,481,-1
3,24,1627,60,4,1748,1810,121,121,183,-1
5,23,1590,25,6,1811,1837,221,221,247,-1
6,26,1759,70,7,1837,1910,78,78,151,-1
7,25,1717,40,8,1910,1953,193,193,236,-1
8,27,1821,100,9,1955,2056,134,134,235,-1
6,28,2061,50,7,2061,2112,0,0,51,-1
7,29,2065,40,8,2113,2153,48,48,88,-1
8,30,2177,70,9,2177,2249,0,0,72,-1
8,31,2401,40,9,2401,2442,0,0,41,-1
9,32,2424,25,10,2443,2468,19,19,44,-1
10,33,2484,25,11,2484,2512,0,0,28,-1
11,34,2534,25,12,2534,2560,0,0,26,-1
8,35,2553,25,9,2560,2588,7,7,35,-1
11,36,2663,75,12,2663,2739,0,0,76,-1
8,38,2690,100,9,2739,2840,49,49,150,-1
10,37,2663,100,11,2841,2942,178,178,279,-1
11,40,2851,200,12,2942,3143,91,91,292,-1
8,41,2962,70,9,3144,3215,182,182,253,-1
10,43,3066,50,11,3216,3266,150,150,200,-1
11,44,3154,25,12,3267,3293,113,113,139,-1
12,39,2829,65,13,3294,3361,465,465,532,-1
13,42,3033,60,14,3361,3422,328,328,389,-1
8,46,3366,50,9,3422,3472,56,56,106,-1
10,47,3368,25,11,3472,3499,104,104,131,-1
11,50,3445,100,12,3499,3601,54,54,156,-1
12,49,3412,100,13,3601,3703,189,189,291,-1
14,45,3206,65,15,3703,3769,497,497,563,-1
11,52,3722,60,12,3770,3831,48,48,109,-1
12,54,3823,25,13,3832,3858,9,9,35,-1
14,53,3820,20,15,3858,3880,38,38,60,-1
15,48,3382,50,16,3880,3932,498,498,550,-1
14,55,3885,70,15,3932,4004,47,47,119,-1
11,56,3942,100,12,4004,4106,62,62,164,-1
12,57,4009,25,13,4106,4133,97,97,124,-1
15,58,4032,40,16,4133,4175,101,101,143,-1
14,60,4156,50,15,4176,4226,20,20,70,-1
16,51,3715,25,17,4226,4252,511,511,537,-1
17,59,4119,25,18,4253,4279,134,134,160,-1
18,61,4232,200,19,4279,4491,47,47,259,-1
12,62,4285,25,13,4499,4527,214,214,242,-1
14,64,4326,200,15,4527,4735,201,201,409,-1
12,69,4633,65,13,4735,4802,102,102,169,-1
14,70,4751,70,15,4802,4878,51,51,127,-1
12,71,4861,75,13,4878,4955,17,17,94,-1
15,63,4287,20,16,4955,4988,668,668,701,-1
16,67,4425,25,17,4989,5015,564,564,590,-1
15,72,4993,100,16,5015,5116,22,22,123,-1
12,73,5049,25,13,5116,5143,67,67,94,-1
17,66,4387,60,18,5143,5210,756,756,823,-1
16,74,5168,100,17,5220,5327,52,52,159,-1
15,75,5251,60,16,5327,5401,76,76,150,-1
17,76,5327,75,18,5401,5478,74,74,151,-1
16,77,5448,70,17,5478,5560,30,30,112,-1
17,78,5560,25,18,5560,5587,0,0,27,-1
18,68,4506,20,19,5587,5611,1081,1081,1105,-1
19,65,4330,200,20,5612,5816,1282,1282,1486,-1
17,80,5747,20,18,5816,5849,69,69,102,-1
18,79,5615,25,19,5850,5877,235,235,262,-1
17,82,5854,60,18,5877,5944,23,23,90,-1
19,81,5834,25,20,5945,5971,111,111,137,-1
17,83,6063,25,18,6063,6091,0,0,28,-1
