patronID,drinkName,executionTime,arrivalTime,serviceStartTime,completionTime,waitingTime,responseTime,turnaroundTime,queueLevel
0,White Wine,25,1778859724623,1778859724635,1778859724663,12,12,40,-1
0,Cider,25,1778859724816,1778859724816,1778859724843,0,0,27,-1
1,Cider,25,1778859724933,1778859724933,1778859724960,0,0,27,-1
0,B52,200,1778859724945,1778859724960,1778859725171,15,15,226,-1
1,Tequila shot,20,1778859725075,1778859725171,1778859725202,96,96,127,-1
1,Bloody Mary,70,1778859725206,1778859725206,1778859725286,0,0,80,-1
1,White Wine,25,1778859725438,1778859725438,1778859725465,0,0,27,-1
1,Martini,60,1778859725625,1778859725625,1778859725691,0,0,66,-1
1,Red Wine,25,1778859725818,1778859725818,1778859725845,0,0,27,-1
1,Martini,60,1778859726005,1778859726005,1778859726069,0,0,64,-1
1,Beer,25,1778859726188,1778859726188,1778859726216,0,0,28,-1
0,White Wine,25,1778859742458,1778859742463,1778859742489,5,5,31,-1
0,Cider,25,1778859742643,1778859742643,1778859742669,0,0,26,-1
0,Cider,25,1778859742770,1778859742770,1778859742797,0,0,27,-1
1,B52,200,1778859742771,1778859742800,1778859743011,29,29,240,-1
1,Tequila shot,20,1778859743030,1778859743030,1778859743059,0,0,29,-1
1,Bloody Mary,70,1778859743065,1778859743065,1778859743145,0,0,80,-1
1,White Wine,25,1778859743302,1778859743302,1778859743329,0,0,27,-1
1,Martini,60,1778859743495,1778859743495,1778859743559,0,0,64,-1
1,Red Wine,25,1778859743682,1778859743682,1778859743709,0,0,27,-1
1,Martini,60,1778859743861,1778859743861,1778859743925,0,0,64,-1
1,Beer,25,1778859744045,1778859744047,1778859744074,2,2,29,-1
