patronID,orderID,arrivalTime,burstTime,priority,serviceStartTime,completionTime,responseTime,waitingTime,turnaroundTime,queueLevel
0,0,441,25,1,465,492,24,24,51,-1
1,1,579,25,2,579,605,0,0,26,-1
0,2,645,25,1,645,671,0,0,26,-1
1,3,707,200,2,707,909,0,0,202,-1
0,4,772,20,1,910,932,138,138,160,-1
1,6,920,25,2,933,959,13,13,39,-1
0,7,937,60,1,960,1021,23,23,84,-1
2,5,777,70,3,1021,1093,244,244,316,-1
1,8,1110,25,2,1110,1137,0,0,27,-1
0,9,1132,60,1,1137,1199,5,5,67,-1
2,10,1245,25,3,1245,1271,0,0,26,-1
1,11,1288,25,2,1288,1315,0,0,27,-1
0,12,1309,40,1,1316,1357,7,7,48,-1
2,13,1373,75,3,1373,1449,0,0,76,-1
1,14,1416,75,2,1449,1527,33,33,111,-1
2,15,1560,25,3,1560,1586,0,0,26,-1
1,16,1608,40,2,1608,1651,0,0,43,-1
3,17,1716,20,4,1716,1738,0,0,22,-1
3,18,1742,100,4,1742,1844,0,0,102,-1
1,19,1762,200,2,1845,2045,83,83,283,-1
3,20,1966,25,4,2045,2073,79,79,107,-1
3,21,2224,100,4,2224,2325,0,0,101,-1
4,22,2423,75,5,2423,2500,0,0,77,-1
3,23,2449,25,4,2501,2527,52,52,78,-1
4,24,2581,60,5,2581,2643,0,0,62,-1
3,25,2628,40,4,2644,2685,16,16,57,-1
3,26,2796,70,4,2796,2867,0,0,71,-1
5,27,3030,100,6,3030,3131,0,0,101,-1
6,28,3205,50,7,3205,3257,0,0,52,-1
5,29,3252,40,6,3257,3297,5,5,45,-1
6,30,3357,70,7,3358,3430,1,1,73,-1
7,31,3380,40,8,3431,3472,51,51,92,-1
6,32,3582,25,7,3582,3609,0,0,27,-1
7,33,3584,25,8,3610,3635,26,26,51,-1
8,34,3715,25,9,3715,3741,0,0,26,-1
6,35,3760,25,7,3760,3786,0,0,26,-1
7,36,3785,75,8,3786,3863,1,1,78,-1
8,37,3841,100,9,3864,3964,23,23,123,-1
6,38,3888,100,7,3964,4066,76,76,178,-1
9,39,4231,65,10,4231,4297,0,0,66,-1
9,40,4355,200,10,4355,4567,0,0,212,-1
9,41,4584,70,10,4584,4665,0,0,81,-1
