patronID,drinkName,executionTime,arrivalTime,serviceStartTime,completionTime,waitingTime,responseTime,turnaroundTime,queueLevel
0,White Wine,25,1778859719125,1778859719126,1778859719152,1,1,27,-1
0,Cider,25,1778859719304,1778859719304,1778859719330,0,0,26,-1
0,Cider,25,1778859719431,1778859719431,1778859719458,0,0,27,-1
1,B52,200,1778859719436,1778859719458,1778859719660,22,22,224,-1
1,Tequila shot,20,1778859719676,1778859719676,1778859719701,0,0,25,-1
1,Bloody Mary,70,1778859719706,1778859719706,1778859719788,0,0,82,-1
1,White Wine,25,1778859719948,1778859719948,1778859719974,0,0,26,-1
1,Martini,60,1778859720126,1778859720126,1778859720190,0,0,64,-1
1,Red Wine,25,1778859720308,1778859720308,1778859720335,0,0,27,-1
1,Martini,60,1778859720488,1778859720488,1778859720560,0,0,72,-1
1,Beer,25,1778859720675,1778859720675,1778859720701,0,0,26,-1
