patron_id,order_id,arrival_time,burst_time,priority,service_start_time,completion_time,response_time,waiting_time,turnaround_time,queue_level
0,0,366,25,1,368,395,2,2,29,-1
0,1,547,25,1,547,574,0,0,27,-1
1,2,637,25,2,638,664,1,1,27,-1
0,3,676,200,1,676,877,0,0,201,-1
1,4,766,20,2,878,899,112,112,133,-1
2,5,832,70,3,899,970,67,67,138,-1
0,6,888,25,1,971,996,83,83,108,-1
1,7,904,60,2,996,1058,92,92,154,-1
2,8,1121,25,3,1121,1147,0,0,26,-1
0,9,1148,60,1,1148,1208,0,0,60,-1
1,10,1169,25,2,1208,1234,39,39,65,-1
2,11,1298,25,3,1298,1324,0,0,26,-1
0,12,1319,40,1,1324,1365,5,5,46,-1
1,13,1334,75,2,1365,1441,31,31,107,-1
2,14,1425,75,3,1441,1517,16,16,92,-1
1,15,1552,25,2,1552,1578,0,0,26,-1
1,16,1679,40,2,1679,1721,0,0,42,-1
3,17,1772,20,4,1772,1794,0,0,22,-1
3,18,1799,100,4,1799,1901,0,0,102,-1
1,19,1833,200,2,1901,2103,68,68,270,-1
3,20,2023,25,4,2103,2129,80,80,106,-1
3,21,2281,100,4,2281,2383,0,0,102,-1
4,22,2480,75,5,2481,2556,1,1,76,-1
3,23,2504,25,4,2556,2582,52,52,78,-1
4,24,2637,60,5,2637,2698,0,0,61,-1
3,25,2682,40,4,2698,2739,16,16,57,-1
3,26,2850,70,4,2850,2922,0,0,72,-1
5,27,3085,100,6,3085,3186,0,0,101,-1
6,28,3261,50,7,3261,3313,0,0,52,-1
5,29,3307,40,6,3314,3355,7,7,48,-1
6,30,3414,70,7,3414,3485,0,0,71,-1
7,31,3437,40,8,3486,3527,49,49,90,-1
6,32,3638,25,7,3638,3665,0,0,27,-1
7,33,3664,25,8,3666,3692,2,2,28,-1
8,34,3771,25,9,3771,3797,0,0,26,-1
6,35,3816,25,7,3816,3842,0,0,26,-1
7,36,3843,75,8,3843,3919,0,0,76,-1
8,37,3897,100,9,3919,4020,22,22,123,-1
6,38,3943,100,7,4021,4122,78,78,179,-1
9,39,4287,65,10,4287,4354,0,0,67,-1
9,40,4414,200,10,4414,4618,0,0,204,-1
9,41,4634,70,10,4635,4719,1,1,85,-1
