patron_id,order_id,arrival_time,burst_time,priority,service_start_time,completion_time,response_time,waiting_time,turnaround_time,queue_level
0,0,378,25,1,384,414,6,6,36,-1
0,1,566,25,1,569,595,3,3,29,-1
1,2,576,25,2,595,621,19,19,45,-1
0,3,695,200,1,697,897,2,2,202,-1
1,4,721,20,2,897,918,176,176,197,-1
2,5,775,70,3,918,990,143,143,215,-1
0,6,909,25,1,990,1016,81,81,107,-1
1,7,922,60,2,1016,1077,94,94,155,-1
2,8,1141,25,3,1143,1170,2,2,29,-1
0,9,1168,60,1,1170,1230,2,2,62,-1
1,10,1188,25,2,1232,1258,44,44,70,-1
2,11,1320,25,3,1323,1349,3,3,29,-1
0,12,1342,40,1,1349,1392,7,7,50,-1
1,13,1360,75,2,1393,1470,33,33,110,-1
2,14,1449,75,3,1470,1546,21,21,97,-1
1,15,1581,25,2,1583,1608,2,2,27,-1
1,16,1709,40,2,1711,1752,2,2,43,-1
3,17,1716,20,4,1752,1774,36,36,58,-1
3,18,1778,100,4,1781,1882,3,3,104,-1
1,19,1864,200,2,1882,2083,18,18,219,-1
3,20,2004,25,4,2083,2109,79,79,105,-1
3,21,2260,100,4,2261,2362,1,1,102,-1
4,22,2422,75,5,2424,2499,2,2,77,-1
3,23,2483,25,4,2499,2525,16,16,42,-1
4,24,2580,60,5,2582,2643,2,2,63,-1
3,25,2626,40,4,2643,2685,17,17,59,-1
3,26,2796,70,4,2798,2869,2,2,73,-1
5,27,3029,100,6,3030,3131,1,1,102,-1
6,28,3205,50,7,3208,3260,3,3,55,-1
5,29,3252,40,6,3260,3300,8,8,48,-1
6,30,3361,70,7,3362,3435,1,1,74,-1
7,31,3380,40,8,3435,3477,55,55,97,-1
6,32,3585,25,7,3587,3612,2,2,27,-1
7,33,3588,25,8,3612,3638,24,24,50,-1
8,34,3715,25,9,3717,3742,2,2,27,-1
6,35,3763,25,7,3765,3791,2,2,28,-1
7,36,3789,75,8,3791,3867,2,2,78,-1
8,37,3844,100,9,3867,3969,23,23,125,-1
6,38,3891,100,7,3970,4071,79,79,180,-1
9,39,4231,65,10,4233,4299,2,2,68,-1
9,40,4363,200,10,4364,4570,1,1,207,-1
9,41,4585,70,10,4587,4661,2,2,76,-1
