patron_id,order_id,arrival_time,burst_time,priority,service_start_time,completion_time,response_time,waiting_time,turnaround_time,queue_level
0,0,385,25,1,388,416,3,3,31,-1
0,1,567,25,1,567,593,0,0,26,-1
1,2,576,25,2,593,620,17,17,44,-1
0,3,694,200,1,694,895,0,0,201,-1
1,4,723,20,2,895,917,172,172,194,-1
0,6,907,25,1,917,945,10,10,38,-1
1,7,921,60,2,945,1007,24,24,86,-1
2,5,776,70,3,1007,1078,231,231,302,-1
0,8,1095,25,1,1095,1121,0,0,26,-1
1,9,1118,60,2,1121,1183,3,3,65,-1
2,10,1230,25,3,1230,1255,0,0,25,-1
0,11,1272,25,1,1272,1299,0,0,27,-1
1,12,1294,40,2,1299,1340,5,5,46,-1
2,13,1356,75,3,1356,1432,0,0,76,-1
1,14,1452,75,2,1452,1528,0,0,76,-1
2,15,1543,25,3,1543,1569,0,0,26,-1
1,16,1608,40,2,1608,1649,0,0,41,-1
3,17,1715,20,4,1715,1735,0,0,20,-1
3,18,1739,100,4,1739,1842,0,0,103,-1
1,19,1760,200,2,1842,2044,82,82,284,-1
3,20,1963,25,4,2044,2069,81,81,106,-1
3,21,2220,100,4,2220,2321,0,0,101,-1
4,22,2423,75,5,2423,2499,0,0,76,-1
3,23,2442,25,4,2499,2525,57,57,83,-1
4,24,2580,60,5,2580,2641,0,0,61,-1
3,25,2626,40,4,2641,2683,15,15,57,-1
3,26,2794,70,4,2794,2865,0,0,71,-1
5,27,3029,100,6,3030,3130,1,1,101,-1
6,28,3205,50,7,3205,3256,0,0,51,-1
5,29,3251,40,6,3257,3297,6,6,46,-1
6,30,3366,70,7,3366,3439,0,0,73,-1
7,31,3381,40,8,3439,3480,58,58,99,-1
6,32,3591,25,7,3591,3618,0,0,27,-1
7,33,3591,25,8,3618,3644,27,27,53,-1
8,34,3714,25,9,3714,3742,0,0,28,-1
6,35,3769,25,7,3769,3795,0,0,26,-1
7,36,3795,75,8,3795,3871,0,0,76,-1
8,37,3842,100,9,3871,3972,29,29,130,-1
6,38,3896,100,7,3972,4074,76,76,178,-1
9,39,4231,65,10,4231,4297,0,0,66,-1
9,40,4353,200,10,4353,4567,0,0,214,-1
9,41,4592,70,10,4592,4668,0,0,76,-1
