patron_id,order_id,arrival_time,burst_time,priority,service_start_time,completion_time,response_time,waiting_time,turnaround_time,queue_level
0,0,359,25,1,361,388,2,2,29,-1
0,1,540,25,1,540,566,0,0,26,-1
1,2,618,25,2,618,644,0,0,26,-1
0,3,672,200,1,672,874,0,0,202,-1
1,4,746,20,2,874,896,128,128,150,-1
0,6,886,25,1,896,924,10,10,38,-1
1,7,900,60,2,924,985,24,24,85,-1
2,5,812,70,3,985,1056,173,173,244,-1
0,8,1076,25,1,1076,1102,0,0,26,-1
1,9,1097,60,2,1102,1164,5,5,67,-1
2,10,1208,25,3,1208,1235,0,0,27,-1
0,11,1253,25,1,1253,1280,0,0,27,-1
1,12,1275,40,2,1280,1321,5,5,46,-1
2,13,1336,75,3,1336,1412,0,0,76,-1
1,14,1433,75,2,1433,1508,0,0,75,-1
2,15,1524,25,3,1524,1550,0,0,26,-1
1,16,1589,40,2,1589,1630,0,0,41,-1
1,17,1741,20,2,1741,1763,0,0,22,-1
3,18,1752,100,4,1763,1866,11,11,114,-1
3,19,1987,200,4,1987,2188,0,0,201,-1
3,20,2199,25,4,2199,2225,0,0,26,-1
3,21,2376,100,4,2376,2477,0,0,101,-1
4,22,2460,75,5,2477,2553,17,17,93,-1
3,23,2597,25,4,2597,2624,0,0,27,-1
4,24,2634,60,5,2634,2694,0,0,60,-1
3,25,2725,40,4,2725,2766,0,0,41,-1
3,26,2877,70,4,2877,2947,0,0,70,-1
5,27,3065,100,6,3065,3166,0,0,101,-1
6,28,3241,50,7,3241,3293,0,0,52,-1
5,29,3287,40,6,3294,3335,7,7,48,-1
6,30,3394,70,7,3394,3465,0,0,71,-1
7,31,3417,40,8,3466,3507,49,49,90,-1
6,32,3618,25,7,3618,3644,0,0,26,-1
7,33,3644,25,8,3646,3672,2,2,28,-1
8,34,3751,25,9,3751,3777,0,0,26,-1
6,35,3796,25,7,3796,3822,0,0,26,-1
7,36,3823,75,8,3823,3899,0,0,76,-1
8,37,3879,100,9,3899,4000,20,20,121,-1
6,38,3923,100,7,4001,4102,78,78,179,-1
9,39,4267,65,10,4267,4334,0,0,67,-1
9,40,4394,200,10,4394,4598,0,0,204,-1
9,41,4614,70,10,4614,4699,0,0,85,-1
